transport_do_sklepow_tyg [*,Piaseczno,Buraki,*] (tr)
:  ArabicGroceryShop DobryWarzywniak Krzesak UKermita UPanaWojtka    :=
1         0.000            1.007       1.705   0.877      0.000
2         0.963            2.047       4.313   0.617      0.000
3         0.000            0.116       0.000   0.383      0.000
4         0.000            1.000       0.000   1.713      0.000
5         0.000            0.840       5.471   0.000      0.000
6         0.000            0.786       0.000   0.000      0.000
7         0.000            2.105       0.000   1.650      0.000
8         0.739            0.000       0.000   0.000      0.000
9         0.875            2.154       5.869   0.000      0.000
10        0.000            0.840       0.000   1.695      0.000
11        0.915            0.000       0.000   0.000      0.000
12        0.944            0.000       0.000   0.000      0.000
13        2.187            2.763       0.000   0.117      0.000
14        0.000            0.000       3.425   0.815      0.000
15        0.000            0.000       0.000   1.729      0.000
16        0.000            1.836       0.000   0.000      0.000
17        0.842            0.000       4.294   0.000      0.000
18        1.333            0.000       0.000   0.000      0.000
19        0.000            2.556       0.000   0.722      0.000
20        0.000            0.000       1.241   1.445      0.000
21        0.000            0.000       2.322   0.606      0.000
22        0.000            1.720       0.278   0.000      0.000
23        0.257            0.000       2.583   0.813      0.000
24        0.000            0.889       0.000   0.000      0.000
25        0.000            0.998       4.559   1.867      0.000
26        2.245            3.499       0.000   0.000      0.000
27        0.000            0.320       0.000   0.000      0.000
28        0.000            0.000       3.359   1.429      0.000
29        0.000            0.000       0.000   0.000      0.000
30        1.257            2.081       3.147   1.067      0.000
31        1.257            0.000       0.000   0.000      0.000
32        0.000            2.135       2.086   0.810      0.000
33        2.500            0.000       3.042   0.387      0.000
34        0.000            1.823       0.000   1.632      0.000
35        0.000            0.000       5.641   0.000      0.810
36        0.482            2.786       0.000   1.602      0.000
37        1.257            0.000       0.000   0.587      0.000
38        0.000            0.000       2.087   0.000      0.000
39        1.257            2.160       1.665   1.595      0.000
40        2.515            0.000       3.841   0.000      0.000
41        0.000            1.073       0.000   0.797      0.000
42        0.000            1.073       1.646   0.633      0.000
43        1.271            2.192       1.815   1.373      0.000
44        0.000            0.838       3.487   0.000      0.000
45        2.515            0.000       0.000   2.242      0.000
46        0.000            2.149       5.720   0.000      0.000
47        1.146            0.000       0.941   0.000      0.000
48        0.000            2.042       0.000   0.000      0.000
49        0.000            0.000       0.000   2.206      0.000
50        1.257            2.819       2.905   0.000      0.000
51        0.000            0.000       0.000   0.045      0.000
52        1.280            0.000       1.852   0.502      0.000

 [*,Piaseczno,Kapusta,*] (tr)
:  DobryWarzywniak Krzesak UKermita    :=
1        1.366       0.000   1.947
2        0.000       0.000   0.000
3        1.999       0.000   0.000
4        0.000       0.000   0.000
5        0.000       0.000   0.000
6        2.109       0.000   1.193
7        0.000       0.000   0.000
8        0.000       0.000   0.192
9        0.870       0.000   0.000
10       0.000       2.141   0.772
11       0.994       0.000   0.000
12       0.000       0.000   0.000
13       0.946       0.921   1.287
14       0.000       3.550   0.000
15       1.392       0.000   0.000
16       0.000       0.000   1.794
17       0.085       0.000   0.000
18       0.983       0.000   0.000
19       0.000       0.000   0.000
20       0.511       2.713   0.000
21       0.625       0.000   1.170
22       1.696       0.000   0.000
23       0.000       1.675   0.000
24       0.000       0.000   0.745
25       0.609       1.834   0.000
26       1.199       0.000   1.579
27       0.000       1.143   0.000
28       2.151       2.991   0.000
29       0.000       0.000   0.040
30       0.000       0.000   0.722
31       1.563       0.000   0.840
32       0.000       4.349   0.009
33       1.830       0.000   0.000
34       0.000       0.000   0.694
35       0.000       0.000   1.019
36       0.529       0.000   0.000
37       1.046       2.261   0.720
38       1.050       0.000   0.735
39       0.000       0.000   1.110
40       1.141       0.000   0.000
41       0.580       0.000   0.413
42       0.924       0.000   0.515
43       0.935       3.342   0.735
44       2.221       0.000   0.000
45       0.000       0.000   0.258
46       0.000       0.000   0.902
47       2.177       0.000   0.000
48       0.000       0.000   0.372
49       0.000       0.000   0.906
50       1.177       2.004   0.000
51       0.044       0.000   0.620
52       0.624       0.000   0.312

 [*,Piaseczno,Marchew,*] (tr)
:  DobryWarzywniak Krzesak UKermita    :=
1        1.729       3.704   0.897
2        1.491       0.000   0.525
3        0.000       0.401   0.829
4        2.492       2.880   0.000
5        0.000       0.000   0.636
6        0.000       6.003   1.264
7        1.546       0.000   0.000
8        1.334       0.000   0.000
9        0.000       0.657   0.727
10       2.147       0.000   0.550
11       0.000       0.000   2.413
12       0.000       2.394   0.000
13       1.945       0.000   0.000
14       0.000       4.547   0.000
15       0.000       0.000   0.000
16       1.447       0.000   0.560
17       0.000       0.000   1.463
18       0.790       1.097   0.000
19       2.622       1.168   0.000
20       0.000       5.086   1.296
21       0.666       0.000   0.000
22       0.000       0.000   0.625
23       2.195       0.000   2.115
24       0.000       2.313   0.000
25       0.115       0.000   0.000
26       0.787       0.000   0.000
27       0.903       1.644   1.210
28       0.875       3.166   0.000
29       2.285       0.000   0.941
30       1.167       3.046   0.000
31       0.000       0.000   0.646
32       2.269       1.758   0.929
33       0.425       4.657   1.295
34       0.000       0.000   0.000
35       2.873       0.000   0.903
36       0.000       3.349   0.559
37       0.000       0.000   0.932
38       1.979       2.020   0.889
39       0.000       5.284   0.842
40       2.385       0.000   0.907
41       0.000       5.916   0.760
42       2.666       0.000   0.609
43       0.000       1.331   0.480
44       0.609       0.000   2.094
45       0.956       0.000   0.000
46       1.240       0.000   0.000
47       1.585       1.436   1.114
48       0.461       5.583   0.000
49       1.177       0.000   0.585
50       1.037       0.000   0.627
51       1.591       0.000   0.926
52       0.000       1.719   0.434

 [*,Piaseczno,Ziemniaki,*] (tr)
:  DobryWarzywniak Krzesak UKermita    :=
1        2.898       2.205   1.165
2        0.000       5.873   2.351
3        2.334       0.000   0.000
4        0.599       0.000   0.000
5        2.190       5.665   2.327
6        0.000       0.000   0.000
7        1.444       0.000   0.000
8        2.705       2.912   0.000
9        1.827       0.000   1.670
10       0.000       5.614   0.000
11       0.000       3.484   0.991
12       1.121       0.000   1.122
13       1.018       0.000   0.000
14       1.752       0.000   1.687
15       0.000       0.000   0.486
16       1.978       8.863   0.000
17       0.000       0.000   1.165
18       1.102       0.000   0.000
19       1.048       2.783   2.685
20       2.214       0.000   0.000
21       0.000       4.154   0.000
22       2.191       0.000   1.524
23       0.000       0.000   0.000
24       3.660       0.000   0.491
25       0.000       7.019   1.317
26       0.000       0.000   0.658
27       2.136       1.339   0.566
28       0.393       0.000   1.924
29       1.702       9.411   0.000
30       1.398       0.000   2.809
31       1.863       0.000   0.000
32       1.401       1.427   0.000
33       1.345       0.000   2.282
34       0.949       2.235   0.000
35       2.010       4.156   0.929
36       0.612       1.287   2.266
37       2.628       2.006   0.000
38       0.000       8.981   2.397
39       2.541       0.000   0.000
40       1.068       0.000   1.333
41       1.681       1.112   2.765
42       1.863       5.500   1.433
43       1.920       0.000   0.000
44       1.226       1.065   0.000
45       2.975       7.870   0.039
46       0.362       0.000   1.307
47       1.651       0.888   2.463
48       2.184       0.000   0.000
49       0.700       6.197   0.000
50       1.514       0.000   0.901
51       2.318       0.000   1.979
52       0.000       2.363   0.000

 [*,Pruszkow,Buraki,*] (tr)
:  ArabicGroceryShop UAktora UCHLOPAKOW UPanaWojtka    :=
1         1.383        3.175    1.077       0.000
2         0.278        0.000    2.396       0.000
3         1.259        0.000    0.000       0.000
4         1.012        0.000    2.857       0.000
5         0.967        1.448    0.000       1.922
6         2.493        0.000    0.582       0.000
7         0.000        2.003    2.300       0.000
8         0.000        0.000    0.000       0.000
9         0.000        0.000    0.000       0.000
10        1.164        0.796    2.577       0.000
11        0.000        4.019    0.000       0.000
12        0.000        0.000    0.000       0.000
13        0.000        0.000    3.905       0.000
14        0.000        1.212    0.000       0.000
15        1.821        0.000    0.000       0.000
16        0.000        0.000    0.000       0.000
17        0.000        0.000    1.727       0.000
18        0.000        0.528    0.215       0.000
19        1.505        0.817    1.846       0.086
20        0.000        0.858    0.000       0.000
21        0.871        0.974    0.909       0.000
22        2.085        1.218    0.712       0.000
23        0.000        0.000    4.123       0.000
24        2.242        1.708    0.000       0.000
25        0.000        0.000    0.000       0.000
26        0.000        1.189    0.000       0.000
27        0.000        0.848    1.195       0.000
28        2.020        1.894    1.046       0.000
29        0.495        0.000    1.855       0.000
30        0.000        1.683    0.000       1.005
31        0.000        0.000    3.637       0.000
32        1.257        2.398    0.000       0.000
33        0.000        1.100    0.000       0.000
34        0.000        0.000    1.212       0.000
35        2.033        1.150    1.176       0.000
36        0.000        1.150    2.596       0.000
37        0.000        2.444    0.000       0.000
38        1.257        0.346    1.033       0.322
39        0.000        0.000    3.687       1.227
40        0.000        1.051    0.000       0.000
41        0.000        2.468    0.000       0.000
42        1.109        0.000    1.136       0.000
43        0.000        0.383    2.235       1.227
44        1.257        1.150    2.447       0.000
45        0.000        3.332    0.000       0.000
46        0.000        0.000    0.000       0.000
47        0.000        0.115    1.380       0.000
48        1.415        0.638    1.263       0.000
49        1.110        0.903    2.430       0.000
50        0.000        1.177    0.000       0.000
51        1.005        1.959    1.289       0.000
52        0.000        0.000    1.101       0.233

 [*,Pruszkow,Kapusta,*] (tr)
:  Krzesak UAktora UCHLOPAKOW    :=
1    2.948   1.019    1.442
2    0.000   0.000    0.000
3    0.000   2.140    0.811
4    0.953   0.000    1.677
5    1.839   0.000    0.000
6    0.000   0.000    0.542
7    0.814   0.000    0.411
8    0.746   0.000    2.713
9    0.668   0.000    0.000
10   0.000   0.533    0.000
11   0.000   0.719    0.000
12   0.000   0.000    0.000
13   0.000   0.000    1.740
14   0.000   0.000    0.000
15   0.000   0.000    0.000
16   0.000   1.134    2.161
17   0.378   0.000    0.000
18   0.000   0.000    0.000
19   0.795   0.000    1.050
20   0.000   0.000    0.000
21   0.000   0.662    1.029
22   0.000   0.775    0.000
23   0.000   0.000    1.336
24   0.000   0.000    0.000
25   0.000   0.000    2.102
26   0.000   1.317    0.000
27   0.000   0.000    0.000
28   0.000   1.279    1.363
29   0.000   0.000    0.000
30   0.000   0.677    1.276
31   2.434   2.191    0.000
32   0.000   0.000    0.726
33   0.328   0.000    2.073
34   0.000   0.000    0.514
35   0.000   0.000    0.000
36   0.000   0.000    2.489
37   0.000   0.531    0.000
38   0.000   1.358    0.000
39   1.126   0.000    0.732
40   2.861   1.742    1.709
41   0.000   0.000    0.000
42   0.668   0.000    1.547
43   0.000   0.000    1.487
44   0.000   1.475    0.000
45   0.000   0.000    0.000
46   1.280   0.733    0.834
47   0.968   2.466    2.372
48   3.044   0.000    0.000
49   0.000   0.000    0.577
