transport_do_sklepow_tyg [*,Piaseczno,Buraki,*] (tr)
:  ArabicGroceryShop DobryWarzywniak Krzesak UKermita    :=
1         0.000            0.884       1.623   0.706
2         1.147            1.991       3.641   0.431
3         0.000            0.000       0.000   0.832
4         0.465            1.038       0.000   2.071
5         0.000            1.073       4.971   0.000
6         0.000            1.033       0.000   0.000
7         0.000            1.293       0.000   1.795
8         0.000            0.000       0.000   0.000
9         1.093            1.619       5.939   0.000
10        0.000            0.894       0.000   1.880
11        1.140            0.000       0.000   0.000
12        0.996            0.000       0.000   0.181
13        2.760            2.413       0.000   0.055
14        0.000            0.000       3.033   0.764
15        0.000            0.000       0.000   1.136
16        0.000            2.685       0.000   0.000
17        1.114            0.000       3.445   0.000
18        1.543            0.000       0.000   0.000
19        0.000            2.210       0.000   0.845
20        0.000            0.277       1.171   1.857
21        0.000            0.000       1.814   0.144
22        0.000            1.091       1.482   0.000
23        0.146            1.061       2.850   1.130
24        0.000            1.074       0.000   0.446
25        0.000            0.412       4.537   1.901
26        2.224            3.511       0.000   0.000
27        0.000            0.000       0.000   0.000
28        0.000            0.000       2.766   0.928
29        0.000            0.454       0.000   0.704
30        2.102            1.443       3.000   0.797
31        0.263            0.000       0.000   0.797
32        0.000            2.165       2.001   0.673
33        2.515            0.000       3.896   0.809
34        0.000            1.612       0.000   1.323
35        0.000            0.000       4.953   0.000
36        0.000            2.182       0.000   1.725
37        1.798            0.000       0.000   0.374
38        0.000            1.073       1.463   0.000
39        1.257            2.147       1.962   1.608
40        2.271            0.000       3.435   0.000
41        0.000            1.073       0.000   0.797
42        0.000            1.073       1.547   0.797
43        1.759            2.010       2.257   1.595
44        0.739            1.052       4.825   0.000
45        2.516            0.000       0.000   1.595
46        0.000            2.147       4.711   0.000
47        1.257            0.000       0.000   1.405
48        0.000            1.860       0.000   0.000
49        0.000            0.000       0.000   1.481
50        1.272            2.769       2.593   0.000
51        0.000            0.000       0.000   0.808
52        1.257            0.224       1.478   0.738

 [*,Piaseczno,Kapusta,*] (tr)
:  DobryWarzywniak Krzesak UKermita    :=
1        1.359       0.000   2.070
2        0.000       0.000   0.000
3        2.208       0.000   0.000
4        0.000       0.000   0.020
5        0.000       0.000   0.000
6        2.468       0.000   0.505
7        0.000       0.000   0.344
8        0.000       0.000   0.851
9        0.000       0.000   0.000
10       0.000       2.092   1.140
11       0.710       0.000   0.000
12       0.000       0.000   0.000
13       1.003       0.758   1.901
14       0.000       3.476   0.000
15       1.165       0.000   0.000
16       0.000       0.000   0.215
17       0.465       0.000   0.000
18       1.121       0.000   0.000
19       0.000       0.000   0.000
20       0.525       1.879   0.403
21       0.608       0.000   1.361
22       1.484       0.954   0.000
23       0.000       0.000   0.000
24       0.674       0.000   0.926
25       0.276       1.979   0.000
26       1.382       0.000   1.464
27       0.000       0.923   0.000
28       1.700       2.689   0.000
29       0.000       0.000   0.624
30       0.000       0.000   0.685
31       1.429       0.000   1.477
32       0.000       1.188   0.000
33       1.850       0.000   0.000
34       0.000       0.000   0.628
35       0.000       0.000   0.744
36       0.641       0.000   0.000
37       1.317       1.177   0.723
38       1.148       0.000   1.588
39       0.000       0.000   0.154
40       1.759       0.000   0.000
41       0.000       0.000   0.540
42       0.508       0.000   0.812
43       0.833       3.474   0.943
44       2.022       0.000   0.000
45       0.000       0.000   0.682
46       0.000       0.000   0.946
47       2.324       0.000   0.000
48       0.000       0.000   0.725
49       0.000       1.290   1.125
50       1.238       1.108   0.013
51       0.000       0.000   0.530
52       0.782       0.000   0.479

 [*,Piaseczno,Marchew,*] (tr)
:  DobryWarzywniak Krzesak UKermita    :=
1        1.564       3.262   0.701
2        1.141       0.000   0.396
3        0.000       0.000   0.919
4        2.329       2.605   0.543
5        0.000       0.000   0.640
6        0.941       5.144   1.709
7        2.434       0.000   0.000
8        0.000       0.000   0.000
9        0.000       1.726   0.627
10       1.297       0.000   0.675
11       0.000       0.000   2.427
12       0.000       1.989   0.000
13       2.197       0.000   0.000
14       0.000       3.751   0.000
15       0.000       0.000   0.000
16       1.645       0.000   0.000
17       0.000       0.000   1.565
18       0.989       1.350   0.000
19       2.908       1.031   0.000
